Ground,City,Country,Tests,ODIs,T20s
Adelaide Oval,Adelaide,Australia,82,86,13
AMI Stadium,Christchurch,New Zealand,40,48,4
Antigua Recreation Ground,"St. John's, Antigua",West Indies,22,11,0
Arbab Niaz Stadium,Peshawar,Pakistan,6,15,0
Arnos Vale Ground,"Kingstown, St. Vincent",West Indies,3,23,7
Arun Jaitley Stadium,Delhi,India,35,31,7
Asgiriya Stadium,Kandy,Sri Lanka,21,6,0
Bagh-e-Jinnah,Lahore,Pakistan,3,0,0
Bahawal Stadium,Bahawalpur,Pakistan,1,0,0
Bangabandhu National Stadium,Dhaka,Bangladesh,17,58,0
Barabati Stadium,Cuttack,India,2,19,3
Basin Reserve,Wellington,New Zealand,68,30,0
Bay Oval,Mount Maunganui,New Zealand,5,11,12
Bellerive Oval,Hobart,Australia,14,36,13
Ekana Cricket Stadium,Lucknow,India,1,9,6
Bourda,"Georgetown, Guyana",West Indies,30,11,0
Brabourne Stadium,Mumbai,India,18,9,1
Bramall Lane,Sheffield,England,1,0,0
Brisbane Cricket Ground,Brisbane,Australia,66,78,10
Buffalo Park,East London,South Africa,1,23,3
Bulawayo Athletic Club,Bulawayo,Zimbabwe,1,9,10
Carisbrook,Dunedin,New Zealand,10,21,0
Cazaly's Stadium,Cairns,Australia,2,5,0
Civil Service Cricket Club,Belfast,Ireland,1,34,27
Colombo Cricket Club Ground,Colombo,Sri Lanka,3,0,0
Daren Sammy Stadium,"Gros Islet, St Lucia",West Indies,10,30,24
Defence Housing Authority Stadium,Karachi,Pakistan,1,0,0
ACA-VDCA Stadium,Visakhapatnam,India,3,10,4
Dubai Cricket Stadium,Dubai,United Arab Emirates,13,58,92
Eden Gardens,Kolkata,India,42,36,11
Eden Park,Auckland,New Zealand,50,79,28
Edgbaston,Birmingham,England,56,64,8
Ellis Park,Johannesburg,South Africa,6,0,0
Exhibition Ground,Brisbane,Australia,2,0,0
Gaddafi Stadium,Lahore,Pakistan,41,67,23
Galle International Stadium,Galle,Sri Lanka,44,6,0
Gandhi Stadium,Jalandhar,India,1,3,0
Green Park,Kanpur,India,23,15,1
Gymkhana Ground,Mumbai,India,1,0,0
Hagley Oval,Christchurch,New Zealand,13,16,11
Harare Sports Club,Harare,Zimbabwe,39,183,46
Headingley,Leeds,England,81,46,1
HPCA Stadium,Dharamsala,India,2,9,10
Holkar Cricket Stadium,Indore,India,3,7,4
Ibn-e-Qasim Bagh Stadium,Multan,Pakistan,1,6,0
Iqbal Stadium,Faisalabad,Pakistan,24,16,0
Jinnah Stadium,Gujranwala,Pakistan,1,11,0
Jinnah Stadium,Sialkot,Pakistan,4,9,0
JSCA Stadium,Ranchi,India,3,6,4
KD Singh Stadium,Lucknow,India,1,1,0
Kennington Oval,London,England,106,76,17
Kensington Oval,"Bridgetown, Barbados",West Indies,55,48,33
KSOA Stadium,Fatullah,Bangladesh,2,10,4
Kingsmead,Durban,South Africa,45,47,18
Lal Bahadur Shastri Stadium,Hyderabad,India,3,14,0
Lord's,London,England,146,69,10
Lord's (SAF),Durban,South Africa,4,0,0
